V1	size	type
36974.0606819911	0.5k	unweighted parsed
37001.972071448	0.5k	unweighted parsed
36923.1386326663	0.5k	unweighted parsed
36952.9870567695	0.5k	unweighted parsed
36925.6795879363	0.5k	unweighted parsed
36973.5294504239	0.5k	unweighted parsed
36994.7670672793	0.5k	unweighted parsed
37025.8708228994	0.5k	unweighted parsed
36908.9977390932	0.5k	unweighted parsed
36985.0650841653	0.5k	unweighted parsed
37060.0825663723	0.5k	unweighted parsed
36921.692811903	0.5k	unweighted parsed
36972.6410349351	0.5k	unweighted parsed
36840.2212472089	0.5k	unweighted parsed
36934.6441955897	0.5k	unweighted parsed
36950.9480858726	0.5k	unweighted parsed
36888.2513076479	0.5k	unweighted parsed
36800.8585759947	0.5k	unweighted parsed
36958.2807358276	0.5k	unweighted parsed
36867.2445224745	0.5k	unweighted parsed
36953.5954758608	0.5k	unweighted parsed
36966.6670421239	0.5k	unweighted parsed
36880.6504484856	0.5k	unweighted parsed
36936.9915805654	0.5k	unweighted parsed
36887.6223763393	0.5k	unweighted parsed
36833.7683509327	0.5k	unweighted parsed
36932.6650794358	0.5k	unweighted parsed
36983.207189871	0.5k	unweighted parsed
36978.1693590055	0.5k	unweighted parsed
36956.4392605696	0.5k	unweighted parsed
36943.2010807765	0.5k	unweighted parsed
36948.33188832	0.5k	unweighted parsed
36959.4708716361	0.5k	unweighted parsed
36916.7546958286	0.5k	unweighted parsed
36960.0326130151	0.5k	unweighted parsed
36980.0387632584	0.5k	unweighted parsed
36940.9763187679	0.5k	unweighted parsed
36944.167987446	0.5k	unweighted parsed
36993.2218948824	0.5k	unweighted parsed
36897.7774920624	0.5k	unweighted parsed
36914.0770415321	0.5k	unweighted parsed
36944.9073243266	0.5k	unweighted parsed
37055.9366444528	0.5k	unweighted parsed
37057.2215531642	0.5k	unweighted parsed
37038.900792665	0.5k	unweighted parsed
36823.672098542	0.5k	unweighted parsed
36904.574622844	0.5k	unweighted parsed
36873.2022500583	0.5k	unweighted parsed
36943.3905617924	0.5k	unweighted parsed
37008.7440277838	0.5k	unweighted parsed
36907.7969539485	0.5k	unweighted parsed
36837.0028060376	0.5k	unweighted parsed
36936.6715280433	0.5k	unweighted parsed
37024.2949129199	0.5k	unweighted parsed
37021.2741305306	0.5k	unweighted parsed
36961.9499391085	0.5k	unweighted parsed
37032.5185732432	0.5k	unweighted parsed
36898.6962088453	0.5k	unweighted parsed
36949.2570272632	0.5k	unweighted parsed
36980.8295067113	0.5k	unweighted parsed
36889.1159537466	0.5k	unweighted parsed
37005.7356493971	0.5k	unweighted parsed
37116.9827366159	0.5k	unweighted parsed
37038.4551485498	0.5k	unweighted parsed
37053.8433040666	0.5k	unweighted parsed
37005.8035020074	0.5k	unweighted parsed
36866.2906803843	0.5k	unweighted parsed
37004.8741759786	0.5k	unweighted parsed
36940.0689243102	0.5k	unweighted parsed
36997.6471486262	0.5k	unweighted parsed
36990.7500247773	0.5k	unweighted parsed
36978.9033739525	0.5k	unweighted parsed
37025.2808060173	0.5k	unweighted parsed
36977.8753416567	0.5k	unweighted parsed
37048.6160551343	0.5k	unweighted parsed
36923.9650499184	0.5k	unweighted parsed
36953.5990372297	0.5k	unweighted parsed
36929.4138146576	0.5k	unweighted parsed
36884.6103096915	0.5k	unweighted parsed
36935.4208956132	0.5k	unweighted parsed
36918.5060566692	0.5k	unweighted parsed
37001.8744764974	0.5k	unweighted parsed
36888.4379217624	0.5k	unweighted parsed
36939.5074828204	0.5k	unweighted parsed
36930.115226124	0.5k	unweighted parsed
36957.280325987	0.5k	unweighted parsed
36938.6525125717	0.5k	unweighted parsed
36864.1527943975	0.5k	unweighted parsed
37012.5660032961	0.5k	unweighted parsed
37070.1666838941	0.5k	unweighted parsed
36982.2842962674	0.5k	unweighted parsed
36918.7985366474	0.5k	unweighted parsed
36948.5588091437	0.5k	unweighted parsed
36938.487747094	0.5k	unweighted parsed
37041.4605216992	0.5k	unweighted parsed
37080.5068183059	0.5k	unweighted parsed
36934.5582279815	0.5k	unweighted parsed
36980.615465768	0.5k	unweighted parsed
36976.085335659	0.5k	unweighted parsed
