V1	size	type
104936.847494987	0.5k	unweighted parsed
104034.11080718	0.5k	unweighted parsed
104514.869931707	0.5k	unweighted parsed
104543.936138581	0.5k	unweighted parsed
104403.245785564	0.5k	unweighted parsed
104282.123826047	0.5k	unweighted parsed
104142.386052881	0.5k	unweighted parsed
104863.890953867	0.5k	unweighted parsed
104290.626094081	0.5k	unweighted parsed
104599.643178799	0.5k	unweighted parsed
104599.677317649	0.5k	unweighted parsed
104421.898312582	0.5k	unweighted parsed
104695.266103614	0.5k	unweighted parsed
104449.229939405	0.5k	unweighted parsed
104479.939719224	0.5k	unweighted parsed
104470.437796557	0.5k	unweighted parsed
104008.730318097	0.5k	unweighted parsed
104192.846784102	0.5k	unweighted parsed
104391.49834207	0.5k	unweighted parsed
104878.293026587	0.5k	unweighted parsed
104857.692113495	0.5k	unweighted parsed
104262.979782363	0.5k	unweighted parsed
104590.879261507	0.5k	unweighted parsed
104656.958947231	0.5k	unweighted parsed
104151.26630019	0.5k	unweighted parsed
104549.471442611	0.5k	unweighted parsed
104418.803431838	0.5k	unweighted parsed
104606.679487961	0.5k	unweighted parsed
104586.328782045	0.5k	unweighted parsed
104632.073939143	0.5k	unweighted parsed
104167.73966079	0.5k	unweighted parsed
104630.810292525	0.5k	unweighted parsed
104511.090359033	0.5k	unweighted parsed
104568.680188048	0.5k	unweighted parsed
104752.02131061	0.5k	unweighted parsed
104673.307106949	0.5k	unweighted parsed
104773.524086352	0.5k	unweighted parsed
104225.586335991	0.5k	unweighted parsed
104627.917658991	0.5k	unweighted parsed
104272.845415028	0.5k	unweighted parsed
104472.097080279	0.5k	unweighted parsed
104628.357899443	0.5k	unweighted parsed
104413.660487843	0.5k	unweighted parsed
104585.312012902	0.5k	unweighted parsed
104504.77051581	0.5k	unweighted parsed
104111.396560228	0.5k	unweighted parsed
104594.834722522	0.5k	unweighted parsed
104661.707471822	0.5k	unweighted parsed
104526.545491182	0.5k	unweighted parsed
104295.84186996	0.5k	unweighted parsed
104329.208289118	0.5k	unweighted parsed
104355.422154667	0.5k	unweighted parsed
104349.377895725	0.5k	unweighted parsed
